geneId	anatEntityId
ENSDARG00000002131	UBERON:0007269
ENSDARG00000002131	UBERON:0010312
ENSDARG00000002165	UBERON:0000468
ENSDARG00000002167	UBERON:0000004
ENSDARG00000002167	UBERON:0000955
ENSDARG00000002167	UBERON:0001016
ENSDARG00000002167	UBERON:0001675
ENSDARG00000002167	UBERON:0001714
ENSDARG00000002167	UBERON:0001774
ENSDARG00000002167	UBERON:0001792
ENSDARG00000002167	UBERON:0001890
ENSDARG00000002167	UBERON:0001891
ENSDARG00000002167	UBERON:0001893
ENSDARG00000002167	UBERON:0001894
ENSDARG00000002167	UBERON:0001943
ENSDARG00000002167	UBERON:0002028
ENSDARG00000002167	UBERON:0002240
ENSDARG00000002167	UBERON:0002329
ENSDARG00000002167	UBERON:0002538
ENSDARG00000002167	UBERON:0003050
ENSDARG00000002167	UBERON:0003070
ENSDARG00000002167	UBERON:0003082
ENSDARG00000002167	UBERON:0007269
ENSDARG00000002167	UBERON:0010285
ENSDARG00000002167	UBERON:2000058
ENSDARG00000002168	ZFA:0001093
ENSDARG00000002172	UBERON:0000089
ENSDARG00000002172	UBERON:0002065
ENSDARG00000002172	UBERON:0002201
